origen,destino,tipo,distancia_km,restriccion,valor_restriccion
Zarate,Buenos_Aires,Ferroviaria,1,velocidad_max,80
Zarate,Junin,Ferroviaria,1,,
Junin,Azul,Ferroviaria,1,,
Azul,Mar_del_Plata,Ferroviaria,1,,
Buenos_Aires,Mar_del_Plata,Ferroviaria,1,,
Zarate,Buenos_Aires,Automotor,1,,
Zarate,Junin,Automotor,1,peso_max,15000
Junin,Buenos_Aires,Automotor,1,,
Junin,Azul,Automotor,1,,
Azul,Buenos_Aires,Automotor,1,,
Azul,Mar_del_Plata,Automotor,1,,
Buenos_Aires,Mar_del_Plata,Automotor,1,,
Zarate,Buenos_Aires,Fluvial,1,tipo,fluvial
Buenos_Aires,Mar_del_Plata,Fluvial,1,tipo,maritimo
Junin,Buenos_Aires,Aerea,1,prob_mal_tiempo,0.1
Azul,Buenos_Aires,Aerea,1,prob_mal_tiempo,0.2
Buenos_Aires,Mar_del_Plata,Aerea,1,prob_mal_tiempo,0.3
