origen,destino,tipo,distancia_km,restriccion,valor_restriccion
Zarate,Buenos_Aires,Ferroviaria,85,velocidad_max,80
Zarate,Junin,Ferroviaria,185,,
Junin,Azul,Ferroviaria,265,,
Azul,Mar_del_Plata,Ferroviaria,246,,
Buenos_Aires,Mar_del_Plata,Ferroviaria,384,,
Buenos_Aires,La_Plata,Ferroviaria,58,,
La_Plata,Buenos_Aires,Ferroviaria,58,,
Buenos_Aires,Zarate,Automotor,78,,
Buenos_Aires,Campana,Automotor,65,,
Buenos_Aires,Pilar,Automotor,52,,
Buenos_Aires,Lujan,Automotor,68,,
Buenos_Aires,Mercedes,Automotor,102,,
Buenos_Aires,Chivilcoy,Automotor,118,,
Buenos_Aires,Lobos,Automotor,98,,
Buenos_Aires,Cañuelas,Automotor,45,,
Buenos_Aires,La_Plata,Automotor,56,,
La_Plata,Dolores,Automotor,85,,
La_Plata,Chascomus,Automotor,118,,
La_Plata,Brandsen,Automotor,48,,
La_Plata,Magdalena,Automotor,72,,
La_Plata,Punta_Indio,Automotor,95,,
Campana,Zarate,Automotor,25,,
Campana,San_Pedro,Automotor,42,,
Campana,Baradero,Automotor,38,,
San_Pedro,Baradero,Automotor,28,,
San_Pedro,Arrecifes,Automotor,45,,
San_Pedro,Pergamino,Automotor,95,,
San_Nicolas,Pergamino,Automotor,55,,
San_Nicolas,Campana,Automotor,68,,
Pergamino,Junin,Automotor,85,,
Pergamino,Salto,Automotor,42,,
Pergamino,Arrecifes,Automotor,48,,
Salto,Carmen_de_Areco,Automotor,32,,
Carmen_de_Areco,Lujan,Automotor,38,,
Lujan,Mercedes,Automotor,45,,
Mercedes,Chivilcoy,Automotor,52,,
Chivilcoy,Junin,Automotor,68,,
Junin,Olavarria,Automotor,125,,
Olavarria,Azul,Automotor,95,,
Olavarria,Tandil,Automotor,148,,
Azul,Tandil,Automotor,168,,
Tandil,Balcarce,Automotor,85,,
Tandil,Mar_del_Plata,Automotor,165,,
Balcarce,Mar_del_Plata,Automotor,58,,
Mar_del_Plata,Necochea,Automotor,125,,
Necochea,Bahia_Blanca,Automotor,285,,
Bahia_Blanca,Azul,Automotor,298,,
Dolores,Chascomus,Automotor,65,,
Chascomus,Monte,Automotor,45,,
Monte,Cañuelas,Automotor,32,,
Cañuelas,Lobos,Automotor,55,,
Magdalena,San_Clemente,Automotor,68,,
San_Clemente,Villa_Gesell,Automotor,125,,
Villa_Gesell,Pinamar,Automotor,45,,
Pinamar,Mar_del_Plata,Automotor,95,,
Buenos_Aires,Mar_del_Plata,Aerea,384,,
Buenos_Aires,Bahia_Blanca,Aerea,628,,
Buenos_Aires,Tandil,Aerea,365,,
Mar_del_Plata,Bahia_Blanca,Aerea,425,,
Zarate,Buenos_Aires,Fluvial,85,tipo,fluvial
San_Nicolas,Buenos_Aires,Fluvial,145,tipo,fluvial
Campana,Buenos_Aires,Fluvial,72,tipo,fluvial
Buenos_Aires,La_Plata,Fluvial,68,tipo,fluvial
La_Plata,Magdalena,Fluvial,58,tipo,fluvial
Buenos_Aires,Necochea,Ferroviaria,445,,
La_Plata,Mar_del_Plata,Ferroviaria,398,,
Olavarria,Bahia_Blanca,Ferroviaria,315,,
Tandil,Bahia_Blanca,Ferroviaria,368,,
San_Nicolas,Junin,Ferroviaria,128,,
Pergamino,Bahia_Blanca,Ferroviaria,425,,
Buenos_Aires,Pilar,Ferroviaria,56,velocidad_max,90
Buenos_Aires,Lujan,Ferroviaria,72,velocidad_max,90
Buenos_Aires,Mercedes,Ferroviaria,108,velocidad_max,80
La_Plata,Chascomus,Ferroviaria,125,,
Chascomus,Dolores,Ferroviaria,68,,
Mar_del_Plata,Villa_Gesell,Automotor,115,,
Villa_Gesell,Pinamar,Automotor,45,,
Buenos_Aires,Tandil,Automotor,365,,
Buenos_Aires,Olavarria,Automotor,285,,
Buenos_Aires,Pergamino,Automotor,225,,
Buenos_Aires,San_Nicolas,Automotor,235,,
Buenos_Aires,Bahia_Blanca,Automotor,628,,
Necochea,Tandil,Automotor,185,,
Bahia_Blanca,Necochea,Fluvial,285,tipo,fluvial
Mar_del_Plata,Necochea,Fluvial,125,tipo,fluvial
Buenos_Aires,San_Nicolas,Fluvial,145,tipo,fluvial
Zarate,Campana,Fluvial,28,tipo,fluvial
